slot_id,tenant_id,slot_date,slot_time,salesperson_id,project_id,status,lead_id,last_updated_at,updated_by,version,approved_for_ai
SL0011100,00000000-0000-0000-0000-000000000001,2026-09-13,11:00,SP001,PRJ003,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0011400,00000000-0000-0000-0000-000000000001,2026-09-13,14:00,SP001,PRJ003,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0011630,00000000-0000-0000-0000-000000000001,2026-09-13,16:30,SP001,PRJ003,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0021100,00000000-0000-0000-0000-000000000001,2026-09-13,11:00,SP002,PRJ004,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0021400,00000000-0000-0000-0000-000000000001,2026-09-13,14:00,SP002,PRJ004,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0021630,00000000-0000-0000-0000-000000000001,2026-09-13,16:30,SP002,PRJ004,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0031100,00000000-0000-0000-0000-000000000001,2026-09-13,11:00,SP003,PRJ009,Booked,LD0008,2026-09-12T00:00:00Z,seed_script,1,True
SL0031400,00000000-0000-0000-0000-000000000001,2026-09-13,14:00,SP003,PRJ009,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0031630,00000000-0000-0000-0000-000000000001,2026-09-13,16:30,SP003,PRJ009,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0041100,00000000-0000-0000-0000-000000000001,2026-09-14,11:00,SP001,PRJ002,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0041400,00000000-0000-0000-0000-000000000001,2026-09-14,14:00,SP001,PRJ002,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0041630,00000000-0000-0000-0000-000000000001,2026-09-14,16:30,SP001,PRJ002,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0051100,00000000-0000-0000-0000-000000000001,2026-09-14,11:00,SP002,PRJ005,Held,LD0004,2026-09-12T00:00:00Z,seed_script,1,True
SL0051400,00000000-0000-0000-0000-000000000001,2026-09-14,14:00,SP002,PRJ005,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0051630,00000000-0000-0000-0000-000000000001,2026-09-14,16:30,SP002,PRJ005,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0061100,00000000-0000-0000-0000-000000000001,2026-09-14,11:00,SP003,PRJ007,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0061400,00000000-0000-0000-0000-000000000001,2026-09-14,14:00,SP003,PRJ007,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0061630,00000000-0000-0000-0000-000000000001,2026-09-14,16:30,SP003,PRJ007,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0071100,00000000-0000-0000-0000-000000000001,2026-09-15,11:00,SP001,PRJ001,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0071400,00000000-0000-0000-0000-000000000001,2026-09-15,14:00,SP001,PRJ001,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0071630,00000000-0000-0000-0000-000000000001,2026-09-15,16:30,SP001,PRJ001,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0081100,00000000-0000-0000-0000-000000000001,2026-09-15,11:00,SP003,PRJ006,Cancelled,LD0005,2026-09-12T00:00:00Z,seed_script,1,True
SL0081400,00000000-0000-0000-0000-000000000001,2026-09-15,14:00,SP003,PRJ006,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0081630,00000000-0000-0000-0000-000000000001,2026-09-15,16:30,SP003,PRJ006,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0091100,00000000-0000-0000-0000-000000000001,2026-09-15,11:00,SP002,PRJ008,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0091400,00000000-0000-0000-0000-000000000001,2026-09-15,14:00,SP002,PRJ008,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0091630,00000000-0000-0000-0000-000000000001,2026-09-15,16:30,SP002,PRJ008,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0101100,00000000-0000-0000-0000-000000000001,2026-09-16,11:00,SP001,PRJ010,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0101400,00000000-0000-0000-0000-000000000001,2026-09-16,14:00,SP001,PRJ010,Available,,2026-09-12T00:00:00Z,seed_script,1,True
SL0101630,00000000-0000-0000-0000-000000000001,2026-09-16,16:30,SP001,PRJ010,Available,,2026-09-12T00:00:00Z,seed_script,1,True
