slot_id,date,time,salesperson_id,project_id,status
SL0011100,2026-09-13,11:00,SP001,PRJ003,Available
SL0011400,2026-09-13,14:00,SP001,PRJ003,Available
SL0011630,2026-09-13,16:30,SP001,PRJ003,Available
SL0021100,2026-09-13,11:00,SP002,PRJ004,Available
SL0021400,2026-09-13,14:00,SP002,PRJ004,Available
SL0021630,2026-09-13,16:30,SP002,PRJ004,Available
SL0031100,2026-09-13,11:00,SP003,PRJ009,Available
SL0031400,2026-09-13,14:00,SP003,PRJ009,Available
SL0031630,2026-09-13,16:30,SP003,PRJ009,Available
SL0041100,2026-09-14,11:00,SP001,PRJ002,Available
SL0041400,2026-09-14,14:00,SP001,PRJ002,Available
SL0041630,2026-09-14,16:30,SP001,PRJ002,Available
SL0051100,2026-09-14,11:00,SP002,PRJ005,Available
SL0051400,2026-09-14,14:00,SP002,PRJ005,Available
SL0051630,2026-09-14,16:30,SP002,PRJ005,Available
SL0061100,2026-09-14,11:00,SP003,PRJ007,Available
SL0061400,2026-09-14,14:00,SP003,PRJ007,Available
SL0061630,2026-09-14,16:30,SP003,PRJ007,Available
